amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,hour_of_day,day_of_week
141949.9,74008.28,0.0,10222301.17,10364251.07,0,0,1,0,0,0,16,1
53250.77,298203.0,244952.23,64981.35,118232.12,0,0,1,0,0,0,19,1
1518590.16,22981.0,0.0,6838696.85,8357287.01,0,0,0,0,0,1,15,2
59630.74,34982.0,0.0,0.0,0.0,0,0,0,0,1,0,13,2
12102.82,0.0,0.0,0.0,0.0,0,0,0,0,1,0,19,0
37529.75,0.0,0.0,0.0,0.0,0,0,0,0,1,0,23,1
1861928.35,1861928.35,0.0,554516.48,2416444.82,1,0,1,0,0,0,21,6
19952.89,19952.89,0.0,0.0,0.0,1,0,0,0,0,1,12,5
64229.36,0.0,0.0,924117.84,988347.21,0,0,1,0,0,0,19,4
199909.41,102404.0,0.0,0.0,199909.41,0,0,1,0,0,0,11,5
132002.18,0.0,0.0,352878.87,484881.06,0,0,1,0,0,0,14,1
346544.73,31470.0,0.0,0.0,346544.73,0,0,1,0,0,0,13,5
3622032.42,24506.0,0.0,89716.93,3711749.35,0,0,0,0,0,1,10,0
13083.52,469757.46,456673.94,0.0,0.0,0,0,0,0,1,0,15,0
239992.09,49514.0,0.0,0.0,239992.09,0,0,0,0,0,1,19,4
365270.26,9918.0,375188.26,100360.0,0.0,0,1,0,0,0,0,11,0
20041.54,0.0,0.0,0.0,0.0,0,0,0,0,1,0,18,4
20934.92,40276.0,61210.92,2285619.24,2264684.33,0,1,0,0,0,0,17,6
72327.95,0.0,0.0,384348.02,456675.97,0,0,1,0,0,0,17,6
242159.45,101650.0,0.0,61246.52,303405.96,0,0,1,0,0,0,13,3
110395.06,6415549.0,6525944.06,217649.93,107254.88,0,1,0,0,0,0,0,2
99281.67,0.0,0.0,111870.33,211152.01,0,0,1,0,0,0,17,1
219026.15,743822.3,962848.46,5174183.49,4955157.34,0,1,0,0,0,0,17,6
186054.93,380369.0,194314.07,2103813.66,2289868.6,0,0,1,0,0,0,12,2
1024205.91,24656.0,0.0,710376.43,1734582.34,0,0,0,0,0,1,11,3
140253.68,262831.98,122578.31,3812135.8,3952389.48,0,0,1,0,0,0,20,1
142336.65,142336.65,0.0,267803.17,410139.82,1,0,1,0,0,0,8,4
34411.56,533763.67,499352.12,0.0,0.0,0,0,0,0,1,0,16,1
221690.23,2230171.3,2451861.53,2186183.1,1964492.88,0,1,0,0,0,0,11,6
135687.71,0.0,0.0,719007.03,854694.74,0,0,0,0,0,1,18,1
76732.89,76732.89,0.0,337482.64,414215.54,1,0,1,0,0,0,19,3
296964.36,75499.0,0.0,32400.08,329364.44,0,0,1,0,0,0,9,2
12210.3,918.0,0.0,0.0,0.0,0,0,0,0,1,0,20,0
1211756.1,0.0,0.0,3038760.05,4250516.15,0,0,0,0,0,1,9,5
375587.66,197.0,0.0,102743.23,478330.9,0,0,1,0,0,0,14,1
15108.91,137988.0,122879.09,0.0,0.0,0,0,0,0,1,0,14,2
11069.67,0.0,0.0,177547.64,188617.31,0,0,1,0,0,0,11,1
129595.8,159018.39,288614.18,3120655.73,2991059.93,0,1,0,0,0,0,20,1
354080.0,770.0,0.0,1644385.83,1998465.84,0,0,1,0,0,0,15,6
53814.29,0.0,0.0,0.0,0.0,0,0,0,0,1,0,10,2
11765.3,6747131.56,6758896.86,2584887.09,2573121.79,0,1,0,0,0,0,16,1
15177.38,151247.0,136069.62,0.0,0.0,0,0,0,0,1,0,14,5
206152.78,0.0,0.0,2736338.29,2942491.08,0,0,1,0,0,0,18,0
189407.96,21558.0,210965.96,525617.65,321077.26,0,1,0,0,0,0,18,0
130653.37,130653.37,0.0,0.0,0.0,1,0,0,0,0,1,3,4
181105.88,0.0,0.0,2694013.07,2875118.95,0,0,1,0,0,0,15,6
226299.69,0.0,0.0,887877.54,1114177.24,0,0,1,0,0,0,12,6
43583.44,14826.0,0.0,0.0,0.0,0,0,0,0,1,0,17,1
208384.36,42388.0,250772.36,1093389.44,885005.08,0,1,0,0,0,0,13,0
55879.41,0.0,0.0,1209719.89,1265599.3,0,0,0,0,0,1,11,1
26168.0,13783.0,0.0,0.0,0.0,0,0,0,0,1,0,10,5
23411.3,559912.43,536501.13,0.0,0.0,0,0,0,0,1,0,10,0
272997.35,272997.35,0.0,0.0,0.0,1,0,0,0,0,1,8,0
98202.49,259405.0,161202.51,421041.22,519243.72,0,0,1,0,0,0,12,4
63640.39,168119.0,231759.39,17550.53,0.0,0,1,0,0,0,0,21,0
346778.73,0.0,0.0,2123636.5,2470415.22,0,0,1,0,0,0,14,1
451103.65,91954.0,0.0,531936.17,983039.82,0,0,0,0,0,1,14,6
15905.49,0.0,0.0,0.0,0.0,0,0,0,0,1,0,13,0
351094.94,2906442.41,3257537.35,2227440.15,1932102.78,0,1,0,0,0,0,10,1
221322.92,12164.0,0.0,383878.04,605200.96,0,0,1,0,0,0,12,5
39126.68,0.0,0.0,898118.6,937245.28,0,0,1,0,0,0,19,5
258368.24,0.0,0.0,377114.65,312827.84,0,0,0,0,0,1,8,0
246448.57,50994.0,297442.57,8235.39,0.0,0,1,0,0,0,0,22,0
21618.59,4586809.53,4608428.12,25658.83,4040.24,0,1,0,0,0,0,15,4
345909.52,3064381.08,3410290.6,2686487.47,2340577.96,0,1,0,0,0,0,21,6
11462.08,0.0,0.0,0.0,0.0,0,0,0,0,1,0,10,6
236173.71,17512571.22,17748744.93,9528001.32,9291827.61,0,1,0,0,0,0,10,5
213098.52,60341.0,0.0,105756.51,318855.02,0,0,1,0,0,0,14,6
32767.99,0.0,0.0,0.0,0.0,0,0,0,0,1,0,19,4
777182.96,0.0,0.0,1505055.42,2282238.38,0,0,0,0,0,1,16,2
32721.49,28412.71,0.0,0.0,0.0,0,0,0,0,1,0,16,0
180975.83,9668.0,190643.83,0.0,0.0,0,1,0,0,0,0,18,3
16140.92,3128855.58,3144996.5,3465389.01,3449248.08,0,1,0,0,0,0,13,2
270806.25,99972.0,0.0,0.0,270806.25,0,0,1,0,0,0,12,3
204951.37,204951.37,0.0,1901998.22,2106949.59,1,0,1,0,0,0,22,6
99545.2,65849.0,165394.2,0.0,0.0,0,1,0,0,0,0,19,5
147621.24,0.0,0.0,199065.76,346687.0,0,0,1,0,0,0,16,0
544273.87,47653.1,0.0,584781.93,1129055.8,0,0,0,0,0,1,21,3
13831.29,168.0,0.0,0.0,0.0,0,0,0,0,1,0,18,3
56169.12,438195.41,382026.29,1094346.7,1150515.82,0,0,1,0,0,0,17,5
77158.93,7095.0,0.0,1392464.4,1469623.32,0,0,1,0,0,0,20,6
25280.05,14632.0,0.0,0.0,0.0,0,0,0,0,1,0,20,0
765104.94,765104.94,0.0,2272254.15,3037359.09,1,0,1,0,0,0,6,2
259854.72,3185359.77,3445214.49,481386.47,221531.75,0,1,0,0,0,0,11,2
139210.23,139210.23,0.0,389208.21,528418.44,1,0,1,0,0,0,9,5
211197.55,0.0,0.0,238236.93,449434.48,0,0,1,0,0,0,19,1
159388.45,1880290.04,2039678.49,170578.48,11190.03,0,1,0,0,0,0,11,3
224409.81,21046.0,245455.81,94735.39,0.0,0,1,0,0,0,0,12,2
10741.2,0.0,0.0,0.0,0.0,0,0,0,0,1,0,22,3
104875.0,3218269.75,3323144.75,244383.84,139508.84,0,1,0,0,0,0,18,1
16074.04,20967.0,4892.96,0.0,0.0,0,0,0,0,1,0,19,6
563388.67,563388.67,0.0,0.0,563388.67,1,0,1,0,0,0,9,5
159678.4,1857091.7,2016770.09,217524.34,57845.95,0,1,0,0,0,0,12,1
280178.73,0.0,0.0,401177.62,681356.34,0,0,0,0,0,1,13,4
15401.79,0.0,0.0,0.0,0.0,0,0,0,0,1,0,11,3
296252.78,0.0,0.0,1727448.13,2023700.91,0,0,0,0,0,1,9,1
28037.28,277209.72,249172.44,0.0,0.0,0,0,0,0,1,0,13,1
1820701.33,540.0,0.0,0.0,1820701.33,0,0,0,0,0,1,12,2
165268.03,0.0,0.0,165989.92,331257.94,0,0,1,0,0,0,14,4
764646.4,764646.4,0.0,0.0,0.0,1,0,0,0,0,1,12,5
32672.3,0.0,0.0,1924332.15,1957004.45,0,0,1,0,0,0,14,0
182237.6,52923.0,0.0,0.0,182237.6,0,0,1,0,0,0,12,6
144850.09,0.0,0.0,504659.56,123563.37,0,0,1,0,0,0,18,0
81985.07,2072837.1,2154822.17,186052.84,104067.77,0,1,0,0,0,0,23,0
37799.79,0.0,0.0,65835.0,103634.79,0,0,1,0,0,0,23,4
126625.56,24403.0,0.0,0.0,126625.56,0,0,1,0,0,0,9,5
29157.37,826922.0,797764.63,0.0,0.0,0,0,0,0,1,0,12,2
59777.08,7718623.85,7778400.93,636720.72,576943.63,0,1,0,0,0,0,12,5
516890.24,0.0,0.0,1510869.56,2027759.8,0,0,0,0,0,1,13,1
20814.1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,12,3
124086.98,1140695.14,1264782.11,4629670.59,4505583.62,0,1,0,0,0,0,22,5
14408.79,155269.0,140860.21,0.0,0.0,0,0,0,0,1,0,18,5
365439.28,22392.0,387831.28,775408.97,409969.69,0,1,0,0,0,0,19,6
19401.87,0.0,0.0,0.0,0.0,0,0,0,0,1,0,18,0
1857036.32,10666.0,0.0,0.0,1857036.32,0,0,0,0,0,1,16,2
86360.08,31068.0,0.0,127109.1,213469.18,0,0,1,0,0,0,20,1
18403.13,0.0,0.0,1175146.55,1193549.69,0,0,0,1,0,0,22,6
65625.59,11469515.09,11535140.68,9718619.35,10063056.32,0,1,0,0,0,0,16,0
327216.77,0.0,0.0,2804608.76,3131825.53,0,0,1,0,0,0,13,0
294359.04,0.0,0.0,802238.7,1096597.74,0,0,1,0,0,0,19,5
41423.23,0.0,0.0,0.0,0.0,0,0,0,0,1,0,10,2
49878.83,20519.0,0.0,0.0,0.0,0,0,0,0,1,0,9,2
28853.17,15048.38,0.0,0.0,0.0,0,0,0,0,1,0,12,1
85633.78,0.0,0.0,133606.75,219240.54,0,0,1,0,0,0,12,2
16206.99,0.0,0.0,0.0,0.0,0,0,0,0,1,0,14,2
11820.81,0.0,0.0,0.0,0.0,0,0,0,0,1,0,11,3
540905.62,77.0,0.0,47799.47,588705.09,0,0,0,0,0,1,13,5
31094.57,0.0,0.0,0.0,0.0,0,0,0,0,1,0,18,1
164893.31,1966143.28,2131036.59,498694.35,333801.04,0,1,0,0,0,0,15,0
1210932.48,0.0,0.0,1749208.69,2960141.17,0,0,0,0,0,1,14,0
14462.33,0.0,0.0,51087.18,65549.51,0,0,1,0,0,0,20,6
53643.77,25664.0,79307.77,101292.65,47648.88,0,1,0,0,0,0,14,4
111435.68,9089450.43,9200886.12,1340959.33,1229523.65,0,1,0,0,0,0,12,6
178538.41,0.0,0.0,395555.03,574093.44,0,0,1,0,0,0,15,1
359756.06,0.0,0.0,1315842.03,1675598.09,0,0,1,0,0,0,20,1
3832058.34,3832058.34,0.0,531662.14,4363720.48,1,0,1,0,0,0,4,1
65817.53,483779.41,417961.88,691871.41,757688.93,0,0,1,0,0,0,18,2
88114.24,0.0,0.0,6902376.35,6990490.59,0,0,1,0,0,0,19,6
262438.99,0.0,0.0,1104539.17,1366978.16,0,0,1,0,0,0,13,0
1005979.66,0.0,0.0,1853414.94,2843887.64,0,0,0,0,0,1,20,6
413907.35,2054262.38,2468169.73,2641741.62,2227834.27,0,1,0,0,0,0,19,6
831880.3,0.0,0.0,2424636.62,3256516.92,0,0,0,0,0,1,11,1
334891.27,0.0,0.0,446824.31,781715.57,0,0,0,0,0,1,19,1
217807.73,41285.0,259092.73,1841121.42,1623313.69,0,1,0,0,0,0,14,5
370746.32,0.0,0.0,626258.87,1305818.45,0,0,0,0,0,1,12,0
164094.85,894.0,0.0,0.0,164094.85,0,0,1,0,0,0,21,0
279958.83,95038.22,0.0,6490310.8,6770269.63,0,0,1,0,0,0,11,1
322047.08,0.0,0.0,2349715.45,2671762.53,0,0,0,0,0,1,15,1
245004.47,0.0,0.0,2376233.1,2621237.57,0,0,1,0,0,0,13,1
119607.64,57757.0,0.0,21687.31,141294.96,0,0,1,0,0,0,22,3
261470.2,515271.0,776741.2,339.63,0.0,0,1,0,0,0,0,12,1
30606.6,11477.0,0.0,0.0,0.0,0,0,0,0,1,0,17,6
18813.87,0.0,0.0,0.0,0.0,0,0,0,0,1,0,18,2
100624.06,890863.0,790238.94,17399379.47,17500003.53,0,0,1,0,0,0,13,1
2178303.49,2178303.49,0.0,0.0,0.0,1,0,0,0,0,1,19,2
62844.48,0.0,0.0,860809.07,923653.55,0,0,1,0,0,0,9,2
152363.42,241873.53,394236.95,1547101.89,1394738.48,0,1,0,0,0,0,20,1
23347.77,3437180.12,3460527.89,647711.79,624364.02,0,1,0,0,0,0,14,0
17841.98,72638.84,54796.86,0.0,0.0,0,0,0,0,1,0,16,2
186538.97,0.0,0.0,369648.74,556187.71,0,0,1,0,0,0,9,2
42578.79,0.0,0.0,496704.01,539282.8,0,0,0,0,0,1,11,1
849126.01,0.0,0.0,1881880.67,2731006.69,0,0,0,0,0,1,20,5
218852.72,27299.0,246151.72,0.0,0.0,0,1,0,0,0,0,19,1
33397.35,326510.09,293112.75,0.0,0.0,0,0,0,0,1,0,15,0
22063.66,0.0,0.0,0.0,0.0,0,0,0,0,1,0,11,6
13114.43,0.0,0.0,0.0,0.0,0,0,0,0,1,0,16,0
511389.5,511389.5,0.0,0.0,0.0,1,0,0,0,0,1,0,3
244166.47,0.0,0.0,448958.3,693124.78,0,0,1,0,0,0,17,0
177981.79,91533.0,0.0,89768.78,267750.56,0,0,1,0,0,0,19,6
65734.1,16134.0,0.0,1319295.57,1385029.67,0,0,1,0,0,0,9,0
11462.77,130406.0,118943.23,0.0,0.0,0,0,0,0,1,0,12,2
16600.95,20536.0,3935.05,0.0,16600.95,0,0,1,0,0,0,17,4
22025.14,22025.14,0.0,0.0,0.0,1,0,0,0,0,1,6,4
216623.34,18930026.27,19146649.61,2364531.75,2147908.41,0,1,0,0,0,0,16,1
74633.66,0.0,0.0,962956.05,1037589.7,0,0,1,0,0,0,19,0
22855.67,80.0,0.0,305789.8,328645.47,0,0,1,0,0,0,14,4
336841.83,182.0,337023.83,0.0,0.0,0,1,0,0,0,0,17,5
381830.02,513570.05,131740.03,2006571.49,2388401.51,0,0,1,0,0,0,9,1
375564.85,206.0,0.0,247941.17,623506.02,0,0,0,0,0,1,20,2
395685.87,0.0,0.0,507935.26,903621.13,0,0,1,0,0,0,9,0
120936.35,48829.29,0.0,1599637.96,1720574.31,0,0,1,0,0,0,18,1
243464.62,262.0,0.0,25630.45,269095.07,0,0,1,0,0,0,16,1
1459789.36,453432.0,0.0,12325.23,1472114.6,0,0,0,0,0,1,19,2
129564.09,0.0,0.0,2244021.62,2373585.71,0,0,1,0,0,0,18,0
420877.47,2004.0,422881.47,489515.48,68638.01,0,1,0,0,0,0,10,4
458618.19,5037.0,0.0,213826.49,672444.68,0,0,0,0,0,1,12,1
13266.93,13266.93,0.0,963180.13,976447.07,1,0,1,0,0,0,1,2
185526.98,135673.0,321199.98,250532.28,65005.3,0,1,0,0,0,0,11,2
570374.57,0.0,0.0,1177554.65,1747929.22,0,0,1,0,0,0,19,6
69912.57,69912.57,0.0,13393300.5,13463213.07,1,0,1,0,0,0,0,5
160608.79,0.0,0.0,190002.85,350611.64,0,0,1,0,0,0,16,0
158291.7,62412.0,0.0,0.0,158291.7,0,0,1,0,0,0,17,3
78655.78,30653.0,0.0,168211.88,246867.66,0,0,0,0,0,1,13,2
59190.73,0.0,0.0,181044.19,240234.92,0,0,1,0,0,0,18,2
159589.49,36118.0,195707.49,1525551.9,1365962.41,0,1,0,0,0,0,18,4
473015.28,30374.0,0.0,404492.59,877507.88,0,0,1,0,0,0,13,0
1426390.67,73920.0,0.0,0.0,1426390.67,0,0,0,0,0,1,17,0
37429.18,11378.0,0.0,179846.01,217275.19,0,0,1,0,0,0,19,1
423352.26,0.0,0.0,4221760.34,4763043.52,0,0,1,0,0,0,18,6
199282.05,0.0,0.0,9728787.43,9928069.47,0,0,1,0,0,0,9,1
258805.17,61530.0,0.0,73416.31,332221.48,0,0,1,0,0,0,17,0
385207.12,385207.12,0.0,0.0,385207.12,1,0,1,0,0,0,4,5
883576.0,1596.0,0.0,93502.0,942815.84,0,0,0,0,0,1,13,1
69331.31,493.0,0.0,8361554.24,8430885.55,0,0,1,0,0,0,20,5
466916.72,0.0,0.0,2214149.96,2681066.67,0,0,1,0,0,0,18,1
207583.42,51124.0,258707.42,562997.66,355414.24,0,1,0,0,0,0,11,5
248567.97,5293541.25,5542109.22,262679.51,14111.53,0,1,0,0,0,0,15,5
247204.35,13481728.91,13728933.26,314729.51,67525.17,0,1,0,0,0,0,19,5
96245.79,185659.0,89413.21,1529114.88,1625360.66,0,0,0,0,0,1,14,2
11914.74,54202.0,42287.26,0.0,0.0,0,0,0,0,1,0,22,5
137914.78,14480068.79,14617983.56,666848.56,528933.79,0,1,0,0,0,0,23,1
24604.36,0.0,0.0,0.0,0.0,0,0,0,0,1,0,10,0
34395.37,44247.68,9852.31,0.0,0.0,0,0,0,0,1,0,9,0
42128.95,0.0,0.0,147561.38,64312.45,0,0,1,0,0,0,12,0
328534.83,16534797.1,16863331.94,652412.96,323878.12,0,1,0,0,0,0,11,2
16093.56,103.0,0.0,0.0,0.0,0,0,0,0,1,0,20,0
345286.55,217329.57,0.0,4593714.83,5841579.19,0,0,1,0,0,0,11,0
59250.11,59250.11,0.0,1142307.7,1201557.81,1,0,1,0,0,0,18,0
436658.65,20705.0,0.0,12501.34,449159.99,0,0,1,0,0,0,9,2
287490.35,14129.0,0.0,1699373.97,1737121.2,0,0,1,0,0,0,11,0
156426.05,2414.0,0.0,2696802.3,2853228.35,0,0,1,0,0,0,15,2
448657.41,3213438.46,3662095.87,495093.85,295070.52,0,1,0,0,0,0,15,6
232706.6,0.0,0.0,337547.74,570254.34,0,0,1,0,0,0,16,2
144179.67,12123022.88,12267202.55,180439.29,36259.62,0,1,0,0,0,0,12,6
32480.79,0.0,0.0,140614.88,173095.66,0,0,1,0,0,0,13,2
287175.03,10007866.71,10295041.74,738960.33,451785.3,0,1,0,0,0,0,12,4
310492.06,22369.46,0.0,2096994.73,2407486.8,0,0,1,0,0,0,15,0
24648.02,0.0,0.0,701356.76,726004.79,0,0,1,0,0,0,10,1
202480.64,68881.0,0.0,2241434.86,2443915.5,0,0,1,0,0,0,20,5
134363.07,32713.0,0.0,457035.07,591398.14,0,0,1,0,0,0,18,2
473536.56,0.0,0.0,1726548.14,2200084.7,0,0,1,0,0,0,23,3
145035.4,145035.4,0.0,0.0,0.0,1,0,0,0,0,1,3,5
323173.82,0.0,0.0,821759.21,1144933.03,0,0,0,0,0,1,9,1
268593.36,0.0,0.0,841575.86,1110169.21,0,0,1,0,0,0,11,1
195811.38,0.0,0.0,491864.18,1693219.22,0,0,1,0,0,0,10,0
280863.02,0.0,0.0,6567079.77,6847942.8,0,0,1,0,0,0,14,2
511197.58,30239.0,0.0,95307.57,1050365.45,0,0,1,0,0,0,16,0
408204.13,0.0,0.0,2515221.67,2923425.8,0,0,1,0,0,0,17,6
58123.97,0.0,0.0,1778588.64,1836712.62,0,0,1,0,0,0,14,0
183742.59,769091.0,585348.41,0.0,183742.59,0,0,1,0,0,0,19,6
122825.45,0.0,0.0,19870619.61,21476081.69,0,0,1,0,0,0,12,0
215693.72,939210.87,1154904.6,267214.99,51521.27,0,1,0,0,0,0,13,0
19196.68,934.0,0.0,0.0,0.0,0,0,0,0,1,0,10,0
14120.0,204696.0,190576.0,0.0,0.0,0,0,0,0,1,0,16,0
38762.31,50596.0,89358.31,422190.83,383428.52,0,1,0,0,0,0,15,5
60261.58,173358.0,113096.42,0.0,60261.58,0,0,1,0,0,0,14,2
246147.07,66640.0,0.0,83962.07,373178.83,0,0,1,0,0,0,13,0
479554.16,147093.0,626647.16,240023.49,0.0,0,1,0,0,0,0,11,1
84762.17,0.0,0.0,1724727.15,1809489.32,0,0,1,0,0,0,12,0
89619.6,1896690.08,1986309.68,350453.97,260834.37,0,1,0,0,0,0,19,6
381977.83,381977.83,0.0,0.0,381977.83,1,0,1,0,0,0,4,3
20631.1,5395590.3,5416221.4,202072.02,181440.92,0,1,0,0,0,0,12,2
608074.33,0.0,0.0,2164356.57,2772430.9,0,0,0,0,0,1,9,0
230660.9,21123.0,251783.9,4996552.07,4765891.18,0,1,0,0,0,0,12,1
81162.17,0.0,0.0,419706.08,500868.26,0,0,1,0,0,0,12,6
337341.22,4015150.67,4352491.89,3143920.37,2806579.15,0,1,0,0,0,0,14,6
14898.54,43141.0,28242.46,119558.6,134457.14,0,0,1,0,0,0,9,1
231390.25,2354.0,0.0,21254.0,67310.67,0,0,1,0,0,0,14,2
103421.09,2993.0,106414.09,470821.19,367400.1,0,1,0,0,0,0,18,0
474879.88,402.0,0.0,4533879.12,5056668.31,0,0,0,0,0,1,19,0
122361.03,0.0,0.0,753471.51,875832.55,0,0,1,0,0,0,20,4
682021.0,0.0,0.0,3530451.71,4212472.71,0,0,0,0,0,1,12,1
222249.28,9490.0,0.0,0.0,222249.28,0,0,1,0,0,0,18,2
50221.44,14725.0,0.0,155450.0,0.0,0,0,1,0,0,0,19,0
300199.21,26016.0,0.0,29200.9,329400.11,0,0,1,0,0,0,12,0
60407.64,1149.0,0.0,2397655.52,2458063.16,0,0,1,0,0,0,21,2
425740.53,0.0,0.0,1405222.86,1830963.39,0,0,0,0,0,1,10,0
71864.34,13871.0,85735.34,810330.32,907353.55,0,1,0,0,0,0,18,1
328801.84,0.0,0.0,1274159.29,1738350.23,0,0,1,0,0,0,8,0
102784.5,9054514.52,9157299.02,178433.57,75649.07,0,1,0,0,0,0,11,5
52349.06,14766.0,0.0,250300.4,302649.46,0,0,1,0,0,0,15,6
311805.65,0.0,0.0,1819972.63,2131778.28,0,0,1,0,0,0,19,2
11695.9,43247.0,31551.1,0.0,0.0,0,0,0,0,1,0,14,0
229427.65,12128937.46,12358365.11,669395.44,439967.79,0,1,0,0,0,0,14,1
12773.93,107752.0,94978.07,0.0,0.0,0,0,0,0,1,0,10,6
2108440.98,2108440.98,0.0,0.0,2108440.98,1,0,1,0,0,0,11,5
15177.65,0.0,0.0,0.0,0.0,0,0,0,0,1,0,22,0
57309.05,348.0,0.0,0.0,0.0,0,0,0,0,1,0,10,6
238881.91,107516.0,346397.91,0.0,0.0,0,1,0,0,0,0,12,3
119092.88,8207.0,0.0,411617.95,530710.83,0,0,1,0,0,0,12,1
170169.97,50103.0,0.0,0.0,170169.97,0,0,1,0,0,0,12,6
18759.87,23502.0,4742.13,0.0,18759.87,0,0,1,0,0,0,19,5
153902.26,1248727.42,1402629.68,417223.84,263321.58,0,1,0,0,0,0,11,2
202831.74,10807647.81,11010479.56,822546.06,619714.32,0,1,0,0,0,0,12,6
302695.75,22090.0,0.0,0.0,302695.75,0,0,1,0,0,0,10,0
31997.01,3337.85,35334.86,882415.21,776629.98,0,1,0,0,0,0,20,2
85973.6,0.0,0.0,128666.41,214640.01,0,0,1,0,0,0,20,2
203412.33,6277497.62,6480909.96,1033024.23,829611.9,0,1,0,0,0,0,23,1
28928.88,0.0,0.0,103164.69,132093.57,0,0,1,0,0,0,18,4
111962.6,90882.0,0.0,16384.03,282012.81,0,0,1,0,0,0,18,0
228743.53,0.0,0.0,4989216.47,5312610.72,0,0,1,0,0,0,12,3
397006.86,7224219.08,7621225.94,689728.01,292721.15,0,1,0,0,0,0,18,2
165570.39,6276264.49,6441834.88,2157187.75,1991617.36,0,1,0,0,0,0,16,5
32067.52,1077.0,0.0,82306.56,114374.08,0,0,1,0,0,0,23,2
12573.97,231.0,0.0,0.0,0.0,0,0,0,0,1,0,10,0
13240.9,0.0,0.0,0.0,0.0,0,0,0,0,1,0,18,1
10311.86,24944.0,14632.14,0.0,0.0,0,0,0,0,1,0,23,5
